pickup_date,trip_count,distance_sum,distance_mean,amount_sum
2008-12-31,6,46.7,389.3333333333333,5662.6900000000005
2009-01-01,17,146.1,449.6666666666667,20196.6
2019-12-31,106,499.5,1307.4166666666667,90757.46
2020-01-01,166124,941681.0,2086209.9333333333,153902986.52
2020-01-02,159146,847246.1,2088964.7666666666,145580936.28
2020-01-03,180461,869417.7,2304360.95,157162485.61
2020-01-04,179930,855583.5,2169603.0166666666,151670383.16
2020-01-05,161468,864551.3,1922599.8666666667,144090570.97
2020-01-06,176109,883414.8,2302247.15,158143645.82
2020-01-07,198084,921810.5,2535556.7666666666,172028334.81
2020-01-08,213585,973533.7,2759578.0166666666,184765346.38
2020-01-09,227891,1039092.8,3129272.033333333,201335001.16
2020-01-10,224114,1049885.8,3108606.7,200461781.96
2020-01-11,213743,974908.4,2745531.066666667,181557987.03
2020-01-12,183547,945405.9,2291760.55,163667130.89000002
2020-01-13,205529,984414.6,2826638.35,185367587.72
2020-01-14,213959,971098.4,2900963.4,188951495.39000002
2020-01-15,213380,984924.5,2910350.8666666667,189653825.66
2020-01-16,235993,1065389.1,3308697.1666666665,209200927.71
2020-01-17,239824,1087180.4,3319962.55,211619584.16
2020-01-18,187005,812087.9,2261934.9166666665,152477028.75
2020-01-19,172749,840685.9,2004226.65,146447901.86
2020-01-20,158977,835223.9,1917720.85,142097835.15
2020-01-21,210040,962408.2,2850772.466666667,185709131.7
2020-01-22,218395,967953.3,2957582.466666667,191172703.76
2020-01-23,228550,1044995.8,3176863.4,203691683.37
2020-01-24,229531,1041655.1,3192256.1666666665,202896047.62
2020-01-25,219713,912539.5,2698125.75,177351230.55
2020-01-26,185005,929827.0,2311768.216666667,162425614.83
2020-01-27,186526,897281.1,2432676.966666667,166085205.13
2020-01-28,212367,1274055.0,2773390.4833333334,183469817.02
2020-01-29,223785,989125.2,3071605.2,196477496.87
2020-01-30,239303,1085877.1,3380132.5833333335,213982775.5
2020-01-31,232639,1061366.9,3338574.7666666666,208640813.32
2020-02-01,79562,357619.6,873479.5666666667,64243663.37
2020-02-02,2,3.3,10.083333333333332,903.2
2020-02-12,3,4.8,47.71666666666667,2277.39
2020-02-23,1,10.1,18.266666666666666,1361.89
2020-03-04,1,1.9,11.266666666666667,725.4
2020-03-16,1,1.9,4.516666666666667,414.24
2020-03-25,1,1.4,8.933333333333334,534.35
2020-03-26,1,8.8,101.65,1030.87
2020-04-16,1,0.7,6.6,499.36
2020-05-07,2,3.3,27.416666666666668,1452.68
2020-05-28,1,5.1,14.816666666666666,896.57
2020-06-19,1,6.3,34.483333333333334,1196.38
2020-07-01,880,14888.6,20333.216666666667,1985609.94
2020-07-02,972,12821.8,23699.116666666665,1778217.2
2020-07-03,1004,10989.9,20411.25,1579159.8
2020-07-04,322,4628.2,7022.116666666667,600158.55
2020-07-05,778,11852.0,16869.983333333334,1562778.92
2020-07-06,1026,10288.4,23495.816666666666,1524288.38
2020-07-07,440,5306.9,9593.316666666668,752971.42
2020-07-08,639,11107.8,15120.35,1498743.23
2020-07-09,991,17098.7,23521.833333333332,2263958.93
2020-07-10,768,14565.4,18446.183333333334,1908865.32
2020-07-11,782,11803.6,16779.6,1642866.5999999999
2020-07-12,147,1882.1,3503.383333333333,255256.78
2020-07-13,1,1.1,7.216666666666667,321.55
2020-07-14,885,13804.2,19959.8,1884857.29
2020-07-15,972,14410.6,22563.266666666666,1932784.4
2020-07-16,1081,77031.0,25289.866666666665,2158925.29
2020-07-17,832,12535.8,18774.533333333333,1696188.66
2020-07-18,50,1050.6,1252.2166666666667,132546.27
2020-07-19,513,6238.6,10597.0,848542.33
2020-07-20,369,7354.4,8945.416666666666,970963.99
2020-07-28,1,0.8,5.333333333333333,297.91
2020-07-31,1,1.2,3.5166666666666666,439.78
2021-01-02,3,9.2,42.483333333333334,2258.46
