pickup_date,pickup_hour,trip_count
2008-12-31,23,6
2009-01-01,0,11
2009-01-01,1,2
2009-01-01,2,2
2009-01-01,4,1
2009-01-01,10,1
2019-12-31,13,3
2019-12-31,14,2
2019-12-31,15,9
2019-12-31,16,5
2019-12-31,17,1
2019-12-31,19,18
2019-12-31,21,1
2019-12-31,22,2
2019-12-31,23,65
2020-01-01,0,13012
2020-01-01,1,14782
2020-01-01,2,13239
2020-01-01,3,9556
2020-01-01,4,6030
2020-01-01,5,2628
2020-01-01,6,2138
2020-01-01,7,2301
2020-01-01,8,2255
2020-01-01,9,3156
2020-01-01,10,4463
2020-01-01,11,6210
2020-01-01,12,7944
2020-01-01,13,8532
2020-01-01,14,8362
2020-01-01,15,8472
2020-01-01,16,8241
2020-01-01,17,8246
2020-01-01,18,8190
2020-01-01,19,7258
2020-01-01,20,6100
2020-01-01,21,5954
2020-01-01,22,5204
2020-01-01,23,3851
2020-01-02,0,2251
2020-01-02,1,1188
2020-01-02,2,744
2020-01-02,3,552
2020-01-02,4,726
2020-01-02,5,1519
2020-01-02,6,3585
2020-01-02,7,5764
2020-01-02,8,7369
2020-01-02,9,7895
2020-01-02,10,8101
2020-01-02,11,8623
2020-01-02,12,9852
2020-01-02,13,9898
2020-01-02,14,10466
2020-01-02,15,10778
2020-01-02,16,10062
2020-01-02,17,10723
2020-01-02,18,11098
2020-01-02,19,9584
2020-01-02,20,8203
2020-01-02,21,8276
2020-01-02,22,6929
2020-01-02,23,4960
2020-01-03,0,3330
2020-01-03,1,2126
2020-01-03,2,1219
2020-01-03,3,957
2020-01-03,4,960
2020-01-03,5,1531
2020-01-03,6,3830
2020-01-03,7,6242
2020-01-03,8,8582
2020-01-03,9,9331
2020-01-03,10,8814
2020-01-03,11,8870
2020-01-03,12,9902
2020-01-03,13,9996
2020-01-03,14,10742
2020-01-03,15,10517
2020-01-03,16,10346
2020-01-03,17,11359
2020-01-03,18,11986
2020-01-03,19,11784
2020-01-03,20,9447
2020-01-03,21,10380
2020-01-03,22,10060
2020-01-03,23,8150
2020-01-04,0,6548
2020-01-04,1,5251
2020-01-04,2,3772
2020-01-04,3,2771
2020-01-04,4,1598
2020-01-04,5,1129
2020-01-04,6,1641
2020-01-04,7,2793
2020-01-04,8,4073
2020-01-04,9,6374
2020-01-04,10,7783
2020-01-04,11,8848
2020-01-04,12,9684
2020-01-04,13,10148
2020-01-04,14,9585
2020-01-04,15,10477
2020-01-04,16,10631
2020-01-04,17,10955
2020-01-04,18,11038
2020-01-04,19,11376
2020-01-04,20,10108
2020-01-04,21,11763
2020-01-04,22,11069
2020-01-04,23,10515
2020-01-05,0,8255
2020-01-05,1,6719
2020-01-05,2,5376
2020-01-05,3,3636
2020-01-05,4,2211
2020-01-05,5,1143
2020-01-05,6,1548
2020-01-05,7,2288
2020-01-05,8,3907
2020-01-05,9,6034
2020-01-05,10,8282
2020-01-05,11,9180
2020-01-05,12,10347
2020-01-05,13,10389
2020-01-05,14,10400
2020-01-05,15,10432
2020-01-05,16,10725
2020-01-05,17,10467
2020-01-05,18,9667
2020-01-05,19,8252
2020-01-05,20,7245
2020-01-05,21,6385
2020-01-05,22,4780
2020-01-05,23,3800
2020-01-06,0,2188
2020-01-06,1,1111
2020-01-06,2,788
2020-01-06,3,507
2020-01-06,4,858
2020-01-06,5,1991
2020-01-06,6,4902
2020-01-06,7,9475
2020-01-06,8,11423
2020-01-06,9,10353
2020-01-06,10,8963
2020-01-06,11,8750
2020-01-06,12,9342
2020-01-06,13,9491
2020-01-06,14,10399
2020-01-06,15,10838
2020-01-06,16,10415
2020-01-06,17,11801
2020-01-06,18,12697
2020-01-06,19,11250
2020-01-06,20,9790
2020-01-06,21,8574
2020-01-06,22,5975
2020-01-06,23,4228
2020-01-07,0,2579
2020-01-07,1,1353
2020-01-07,2,832
2020-01-07,3,576
2020-01-07,4,871
2020-01-07,5,1994
2020-01-07,6,4931
2020-01-07,7,9650
2020-01-07,8,11757
2020-01-07,9,10672
2020-01-07,10,9738
2020-01-07,11,9487
2020-01-07,12,10166
2020-01-07,13,10674
2020-01-07,14,11617
2020-01-07,15,12146
2020-01-07,16,10980
2020-01-07,17,12958
2020-01-07,18,14965
2020-01-07,19,13047
2020-01-07,20,11824
2020-01-07,21,11239
2020-01-07,22,8666
2020-01-07,23,5362
2020-01-08,0,3157
2020-01-08,1,1678
2020-01-08,2,1066
2020-01-08,3,735
2020-01-08,4,882
2020-01-08,5,1853
2020-01-08,6,5070
2020-01-08,7,9973
2020-01-08,8,12223
2020-01-08,9,11495
2020-01-08,10,9979
2020-01-08,11,10151
2020-01-08,12,11070
2020-01-08,13,10923
2020-01-08,14,11974
2020-01-08,15,12756
2020-01-08,16,11749
2020-01-08,17,13916
2020-01-08,18,15558
2020-01-08,19,14367
2020-01-08,20,12989
2020-01-08,21,13196
2020-01-08,22,10038
2020-01-08,23,6787
2020-01-09,0,3972
2020-01-09,1,1967
2020-01-09,2,1122
2020-01-09,3,878
2020-01-09,4,923
2020-01-09,5,1914
2020-01-09,6,5143
2020-01-09,7,10882
2020-01-09,8,13661
2020-01-09,9,12323
2020-01-09,10,11148
2020-01-09,11,10969
2020-01-09,12,11385
2020-01-09,13,11766
2020-01-09,14,12667
2020-01-09,15,12951
2020-01-09,16,12202
2020-01-09,17,14048
2020-01-09,18,16208
2020-01-09,19,14578
2020-01-09,20,13657
2020-01-09,21,14118
2020-01-09,22,11658
2020-01-09,23,7751
2020-01-10,0,5134
2020-01-10,1,2934
2020-01-10,2,1819
2020-01-10,3,1249
2020-01-10,4,1231
2020-01-10,5,1973
2020-01-10,6,4858
2020-01-10,7,10023
2020-01-10,8,12154
2020-01-10,9,11232
2020-01-10,10,10238
2020-01-10,11,10598
2020-01-10,12,11087
2020-01-10,13,11073
2020-01-10,14,11944
2020-01-10,15,12584
2020-01-10,16,12015
2020-01-10,17,13952
2020-01-10,18,15528
2020-01-10,19,14278
2020-01-10,20,12151
2020-01-10,21,12145
2020-01-10,22,12554
2020-01-10,23,11360
2020-01-11,0,9754
2020-01-11,1,7602
2020-01-11,2,5890
2020-01-11,3,3985
2020-01-11,4,2278
2020-01-11,5,1324
2020-01-11,6,1996
2020-01-11,7,3401
2020-01-11,8,5318
2020-01-11,9,7673
2020-01-11,10,9108
2020-01-11,11,10322
2020-01-11,12,11419
2020-01-11,13,11604
2020-01-11,14,11830
2020-01-11,15,13053
2020-01-11,16,12434
2020-01-11,17,12860
2020-01-11,18,13443
2020-01-11,19,12844
2020-01-11,20,10497
2020-01-11,21,10643
2020-01-11,22,11768
2020-01-11,23,12697
2020-01-12,0,10598
2020-01-12,1,9578
2020-01-12,2,7155
2020-01-12,3,4839
2020-01-12,4,2701
2020-01-12,5,1251
2020-01-12,6,1607
2020-01-12,7,3004
2020-01-12,8,4644
2020-01-12,9,6711
2020-01-12,10,8181
2020-01-12,11,9466
2020-01-12,12,10540
2020-01-12,13,10669
2020-01-12,14,11292
2020-01-12,15,11296
2020-01-12,16,11195
2020-01-12,17,11451
2020-01-12,18,11500
2020-01-12,19,9194
2020-01-12,20,8043
2020-01-12,21,7625
2020-01-12,22,6635
2020-01-12,23,4372
2020-01-13,0,2704
2020-01-13,1,1519
2020-01-13,2,923
2020-01-13,3,702
2020-01-13,4,941
2020-01-13,5,2003
2020-01-13,6,5763
2020-01-13,7,10620
2020-01-13,8,12318
2020-01-13,9,11384
2020-01-13,10,10505
2020-01-13,11,10463
2020-01-13,12,11302
2020-01-13,13,11187
2020-01-13,14,12241
2020-01-13,15,12889
2020-01-13,16,11284
2020-01-13,17,13199
2020-01-13,18,15100
2020-01-13,19,12736
2020-01-13,20,11329
2020-01-13,21,10531
2020-01-13,22,8518
2020-01-13,23,5368
2020-01-14,0,3635
2020-01-14,1,1820
2020-01-14,2,1094
2020-01-14,3,757
2020-01-14,4,893
2020-01-14,5,1822
2020-01-14,6,5109
2020-01-14,7,10057
2020-01-14,8,12344
2020-01-14,9,11560
2020-01-14,10,10669
2020-01-14,11,10617
2020-01-14,12,11444
2020-01-14,13,11635
2020-01-14,14,12916
2020-01-14,15,13147
2020-01-14,16,12764
2020-01-14,17,13255
2020-01-14,18,14982
2020-01-14,19,13283
2020-01-14,20,12346
2020-01-14,21,12317
2020-01-14,22,9783
2020-01-14,23,5710
2020-01-15,0,3453
2020-01-15,1,1864
2020-01-15,2,1087
2020-01-15,3,777
2020-01-15,4,987
2020-01-15,5,1962
2020-01-15,6,4930
2020-01-15,7,10310
2020-01-15,8,12510
2020-01-15,9,11319
2020-01-15,10,10167
2020-01-15,11,10316
2020-01-15,12,10972
2020-01-15,13,10748
2020-01-15,14,11936
2020-01-15,15,12397
2020-01-15,16,11557
2020-01-15,17,13520
2020-01-15,18,14905
2020-01-15,19,13695
2020-01-15,20,13065
2020-01-15,21,13190
2020-01-15,22,10434
2020-01-15,23,7279
2020-01-16,0,4230
2020-01-16,1,2172
2020-01-16,2,1377
2020-01-16,3,936
2020-01-16,4,1022
2020-01-16,5,2055
2020-01-16,6,4962
2020-01-16,7,10359
2020-01-16,8,12877
2020-01-16,9,12145
2020-01-16,10,10700
2020-01-16,11,10715
2020-01-16,12,11944
2020-01-16,13,11888
2020-01-16,14,14031
2020-01-16,15,12813
2020-01-16,16,12164
2020-01-16,17,14877
2020-01-16,18,16711
2020-01-16,19,15595
2020-01-16,20,14665
2020-01-16,21,15145
2020-01-16,22,13625
2020-01-16,23,8985
2020-01-17,0,5816
