PULocationID,trip_count,amount_sum,avg_amount
237,293199,200808348.74,684.8875635319357
161,280894,231634593.15,824.6334672509915
236,273373,191723979.83,701.3274164968743
162,235065,191109557.16,813.0072837725735
186,228773,186594237.62,815.6305054355191
230,227572,196912638.04,865.2762116604854
132,208480,528383182.72,2534.4550207214124
170,194826,155514603.38,798.2230471292332
48,194455,152137201.42,782.3774210999974
142,193727,143555767.96,741.0209622819741
234,188393,143044797.91,759.2893467910167
163,175835,143078144.16,813.7068510819803
239,174179,125503781.88,720.5448525941704
79,160615,125390002.59,780.6867514864739
141,159612,111680463.0,699.6996654386888
